,text
0,"SlowCreamed Spinach <|startofingre|> 1 (10 ounce) package frozen chopped spinach, thawed and drained, 1/4 cup butter, 2 tablespoons all-purpose flour, 3 cups milk, salt and pepper to taste, <|startofinstruc|> Preheat oven to 350 degrees F (175 degrees C). Lightly grease a 9x13 inch baking dish.
In a medium saucepan over medium heat, melt butter. Stir in flour until smooth. Gradually stir in milk. Bring to a boil, then reduce heat to low and simmer, stirring constantly, until thickened, about 5 minutes. Season with salt, pepper and spinach. Pour into prepared dish and bake in preheated oven for 35 to 40 minutes, or until heated through and lightly browned. Serve warm or at room temperature!
 <|endofrecipe|>"
1,"AwesomeCreamed Spinach <|startofingre|> 1 (10 ounce) package frozen chopped spinach, thawed and drained, 1/4 cup butter, 2 tablespoons all-purpose flour, 3 cups milk, salt and pepper to taste, <|startofinstruc|> Preheat oven to 350 degrees F (175 degrees C).
In a medium saucepan over medium heat, melt butter. Stir in flour until smooth. Gradually stir in milk. Cook, stirring constantly, until thickened, about 5 minutes. Remove from heat.
Transfer spinach mixture to a 2 quart casserole dish. Sprinkle with salt, pepper and cheese. Bake in preheated oven for 20 to 25 minutes, or until heated through and lightly browned. Serve warm or at room temperature, with crackers or bread for dipping (see footnote for recipe link)
 <|endofrecipe|>"
2,"BrownCranberry Sauce <|startofingre|> 1 (12 ounce) package fresh or frozen cranberries, 1 cup white sugar, 2 tablespoons cornstarch, 3/4 cup water, <|startofinstruc|> In a saucepan over medium heat, stir together the sugar and corn starch. Gradually stir in the water. Bring to a boil, then reduce heat to medium-low, and simmer for 10 minutes, stirring occasionally. Remove from heat and allow to cool to room temperature before serving.
 <|endofrecipe|>"
3,"BestPumpkin Pie <|startofingre|> 1 (15 ounce) can pumpkin puree, 1/2 cup white sugar, 2 eggs, beaten, 3 tablespoons all-purpose flour, or as needed, <|startofinstruc|> Preheat oven to 350 degrees F (175 degrees C). Grease a 9-inch pie pan.
Stir pumpkin, sugar, and eggs together in a bowl. Stir flour into pumpkin mixture until batter is smooth. Pour batter into the prepared pie dish and smooth the top using the back of a spoon. Cover the pie with aluminum foil and bake in the preheated oven until golden brown, about 45 minutes. Cool for 10 minutes before cutting into wedges to serve
 <|endofrecipe|>"
4,"Banana Bread <|startofingre|> 2 cups all-purpose flour, 2 teaspoons baking powder, 1/2 teaspoon salt, 3/4 cup butter, softened, 4 eggs, beaten, 5 bananas, mashed, <|startofinstruc|> Preheat oven to 350 degrees F (175 degrees C). Lightly grease two 9x5 inch loaf pans.
In a large bowl, stir together flour, baking soda, and salt. In a separate bowl beat together butter and eggs until light and fluffy. Stir flour mixture into butter mixture until just combined. Fold in bananas. Pour batter into prepared pans, dividing evenly. Bake in preheated oven for 50 to 60 minutes, or until a toothpick inserted into the center of the loaf comes out clean. Cool in pans for 10 minutes before removing to a wire rack to cool completely. Serve warm or at room temperature with whipped cream or vanilla ice cream, if desired
 <|endofrecipe|>"
5,"Mom's Spaghetti Squash Casserole <|startofingre|> 1 spaghetti squash, halved lengthwise and seeded, 1/4 cup butter, melted, salt and ground black pepper to taste, 2 tablespoons grated Parmesan cheese, <|startofinstruc|> Preheat oven to 350 degrees F (175 degrees C).
Place squash cut-side down in a baking dish. Drizzle butter over squash. Season with salt, pepper, and cheese.
Bake in the preheated oven until squash is tender and lightly browned, about 45 minutes. Remove squash from oven and allow to cool for 5 minutes before cutting into wedges. Serve warm or at room temperature. Enjoy!
 <|endofrecipe|>"
6,"TheChocolate Chip Cookies <|startofingre|> 1 cup butter, softened, 1 cup white sugar, 2 eggs, 3/4 cup unsweetened cocoa powder, 4 1/2 cups all-purpose flour, <|startofinstruc|> Preheat oven to 350 degrees F (175 degrees C). Grease cookie sheets.
In a large bowl, cream together the butter and sugar until smooth. Beat in the eggs one at a time. Combine the cocoa and flour; stir into the creamed mixture until well blended. Roll dough into walnut sized balls and place them 2 inches apart onto the prepared cookie sheet. Flatten slightly using the bottom of a glass dipped in sugar. Cookies should be about 1 inch apart. Bake for 8 to 10 minutes in preheated oven. Allow cookies to cool on baking sheet for 5 minutes before removing to a wire rack to finish cooling on wire racks. When cookies are cool, store in an airtight container for up to 2 weeks. These cookies keep well for several weeks in a cool place. They can also be stored between layers of waxed paper or plastic wrap and refrigerated until ready to use as soon as they come out of the next day. If you want to bake them. It's right away!
 <|endofrecipe|>"
7,"Downeast North Carolina Barbecue Sauce <|startofingre|> 1/2 cup ketchup, 1/4 cup apple cider vinegar, 3 tablespoons brown sugar, 2 tablespoons Worcestershire sauce, <|startofinstruc|> In a small saucepan over medium heat, stir together the barbeque sauce, vinegar, and sugar. Bring to a boil, then reduce heat to medium-low and simmer for 10 minutes. Remove from heat and allow to cool to room temperature before using.
 <|endofrecipe|>"
8,"Aimee's Spaghetti Sauce <|startofingre|> 2 tablespoons olive oil, 1 onion, chopped, 3 cloves garlic, minced, 2 (28 ounce) cans whole peeled tomatoes, with liquid, 4 cups water, salt and pepper to taste, <|startofinstruc|> Heat oil in a large saucepan over medium heat. Saute onion and garlic until tender. Stir in tomatoes and water. Bring to a boil, reduce heat, and simmer for 20 minutes.
Stir in salt, pepper and cooked spaghetti. Simmer for an additional 10 to 15 minutes, or until sauce has thickened and coats the back of a spoon. Serve hot or cold. This sauce can be stored in the refrigerator for up to 3 days. If you want to reheat it, you can add a little extra water to thin it out a bit, if you like it too thick. It will thicken as it cools, so be careful not to overcook it!
 <|endofrecipe|>"
9,"ToCreamy Cauliflower Soup <|startofingre|> 1 head cauliflower, cut into florets, 2 tablespoons butter, 1/4 cup all-purpose flour, 3 cups milk, salt and ground black pepper to taste, <|startofinstruc|> Place a steamer insert into a saucepan and fill with water to just below the bottom of the steaming insert. Cover and bring to a boil over high heat. Add the whole head broccoli, cover, and steam until tender, 5 to 10 minutes.
Melt the butter in a large pot over medium heat; whisk in the flour until smooth. Gradually whisk the milk into the roux, whisking constantly until the mixture is thick and smooth, about 5 minutes more. Season with salt, pepper and more flour, if desired. Serve hot, sprinkled with fresh chopped parsley to garnish (see Cook's Note).
 <|endofrecipe|>"
10,"Award Winning Chili <|startofingre|> 1 pound ground beef, 1 onion, chopped, 2 (15 ounce) cans kidney beans, rinsed and drained, 3/4 cup ketchup, salt and pepper to taste, <|startofinstruc|> Heat a large skillet over medium-high heat. Cook and stir beef and onion in the hot skillet until beef is crumbly, evenly browned, and no longer pink, about 10 minutes. Drain and discard any excess grease.
Stir beans into the beef mixture and cook until heated through, 5 to 7 minutes; season with salt, pepper and a little more chili powder if desired. Reduce heat to low and simmer until the beans are hot and the chili is thickened, 15 to 20 minutes more. Stir to blend the flavors before serving; allow to cool to room temperature, then cover and refrigerate until chilled, at least 1 hour or up to overnight. Serve chili with tortilla chips or on a bed of your favorite toppings such as: shredded Cheddar cheese, shredded lettuce, salsa, sour cream and salsa verde toffee bits, sliced ripe avocado slices and/or guacamole
 <|endofrecipe|>"
11,"BestPumpkin Pie <|startofingre|> 1 (15 ounce) can pumpkin puree, 1/2 cup white sugar, 2 eggs, beaten, 3 tablespoons all-purpose flour, or as needed, <|startofinstruc|> Preheat oven to 350 degrees F (175 degrees C). Grease a 9-inch pie pan.
Stir pumpkin, sugar, and eggs together in a bowl. Stir flour into pumpkin mixture until batter is smooth. Pour batter into the prepared pie dish and smooth the top using the back of a spoon. Cover the pie with aluminum foil and bake in the preheated oven until golden brown, about 45 minutes. Cool for 10 minutes before cutting into wedges to serve
 <|endofrecipe|>"
12,"Fluffy Chocolate Cake <|startofingre|> 1 (18.25 ounce) package chocolate cake mix, 1/2 cup vegetable oil, 4 eggs, 3/4 cup water, 2 cups semisweet chocolate chips, <|startofinstruc|> Preheat oven to 350 degrees F (175 degrees C). Grease and flour a 9x13 inch pan.
In a large bowl, mix together cake batter, oil, eggs and water until smooth. Stir in chocolate morsels. Pour batter into prepared pan and bake in the preheated oven for 35 to 40 minutes, or until a toothpick inserted into the center of the cake comes out clean. Allow to cool in pan for 10 minutes before removing from pan to finish cooling on a wire rack. When cake is cool, cut into 1 inch slices and serve with whipped cream or vanilla ice cream. If desired, dust with confectioners' sugar or sprinkles of your choice!
 <|endofrecipe|>"
13,"GoodPumpkin Bread Pudding <|startofingre|> 1 (15 ounce) can pumpkin puree, 1/2 cup white sugar, 2 eggs, beaten, 3/4 cup half-and-half cream, 4 cups cubed day-old bread, <|startofinstruc|> Preheat oven to 350 degrees F (175 degrees C). Grease a 9x13 inch baking dish.
In a large bowl, combine pumpkin, sugar and eggs. Stir in half and half. Add bread cubes and stir to coat. Pour into prepared dish and bake in preheated oven for 45 minutes, or until a toothpick inserted into center of the loaf comes out clean. Remove from oven and allow to cool for 10 minutes before serving. Store in an airtight container in the refrigerator for up to 3 days. Serve cold. Enjoy!
 <|endofrecipe|>"
14,"AppleCranberry Sauce <|startofingre|> 1 (12 ounce) package fresh or frozen cranberries, 1 cup white sugar, 2 tablespoons cornstarch, 3/4 cup water, <|startofinstruc|> In a saucepan over medium heat, stir together the sugar and corn starch. Gradually stir in the water. Bring to a boil, then reduce heat to medium-low, and simmer for 10 minutes, stirring occasionally. Remove from heat and allow to cool to room temperature before serving.
 <|endofrecipe|>"
15,"EasyCranberry Sauce <|startofingre|> 1 (12 ounce) package fresh or frozen cranberries, 1 cup white sugar, 2 tablespoons cornstarch, 3/4 cup water, <|startofinstruc|> In a medium saucepan over medium heat, stir together the sugar, corn starch and water. Bring to a boil, then reduce heat to low and simmer for 10 minutes, stirring occasionally. Remove from heat and allow to cool to room temperature before using.
 <|endofrecipe|>"
16,"Ang's Spaghetti Sauce <|startofingre|> 1 pound lean ground beef, 1 onion, chopped, 2 cloves garlic, minced, 3 (14.5 ounce) cans stewed tomatoes, undrained, 4 cups water, salt and pepper to taste, <|startofinstruc|> In a large pot over medium heat, cook beef, onion and garlic until beef is brown. Stir in tomatoes and water. Bring to a boil, reduce heat to low and simmer for 30 minutes.
Stir in salt, pepper and tomato sauce. Simmer until sauce is thickened and flavors are well blended, about 15 to 20 minutes, stirring occasionally. If sauce becomes too thick, add more water to thin it out to desired consistency. Serve hot, or refrigerate and reheat before serving. Enjoy!
 <|endofrecipe|>"
17,"Zesty Grilled Chicken Salad <|startofingre|> 1/2 cup mayonnaise, 1/4 cup sweet pickle relish, 2 tablespoons prepared yellow mustard, 4 skinless, boneless chicken breast halves, salt and pepper to taste, <|startofinstruc|> Preheat an outdoor grill for medium-high heat, and lightly oil the grate.
In a small bowl, mix together the mayo, sweet dill, mustard and 1 tablespoon of the prepared mustard. Spread the mixture onto the chicken breasts. Sprinkle with salt, pepper and remaining mustard mixture. Grill for 10 to 15 minutes on each side, or until chicken is no longer pink and juices run clear. Remove from heat and let rest for 5 to 10 minutes before cutting into bite-size pieces. Serve on a bed of lettuce with slices of tomato and/or cucumber for squeezing over the top of each piece of chicken during the last few minutes of grilling. Enjoy!
 <|endofrecipe|>"
18,"Chantal's Spaghetti Sauce <|startofingre|> 1 tablespoon olive oil, 1 onion, chopped, 2 cloves garlic, minced, 3 (28 ounce) cans whole peeled tomatoes, with liquid, 4 cups water, salt and pepper to taste, <|startofinstruc|> Heat oil in a large saucepan over medium heat. Saute onion and garlic until tender. Stir in tomatoes and water. Bring to a boil, reduce heat, and simmer for 20 minutes.
Stir in salt, pepper and tomato sauce. Simmer until sauce thickens and coats the back of a spoon, stirring occasionally, about 15 minutes more. Serve hot or cold. This sauce will keep for several weeks in the refrigerator. If you want to reheat, add a little water to thin it out and it will thicken as it cools. You may not need all of the water, but I like to add more than 1/2 cup of water until it reaches your desired consistency. It should not be too thick or too soupy, so you may need more or less. Enjoy!
 <|endofrecipe|>"
19,"Baked Ziti <|startofingre|> 1 (16 ounce) package ziti pasta, 2 tablespoons olive oil, 1 onion, chopped, 4 cloves garlic, minced, 3/4 cup chopped fresh parsley, salt and pepper to taste, <|startofinstruc|> Preheat oven to 350 degrees F (175 degrees C).
Bring a large pot of lightly salted water to a boil. Add pasta and cook for 8 to 10 minutes or until al dente; drain.
Heat oil in a medium skillet over medium heat. Saute onion and garlic until onion is tender. Stir in cooked pasta. Season with salt, pepper, and fresh herbs. Transfer to an 8x8 inch casserole dish and bake in preheated oven for 20 to 25 minutes, until bubbly and lightly browned. Serve warm or at room temperature, or cover and refrigerate for up to 3 days. Top with freshly grated Romano or Parmesan cheese, if desired;
 <|endofrecipe|>"
20,"Guacamole <|startofingre|> 2 ripe avocados, halved, pitted, peeled, and cut into 1/2-inch pieces, 1 small red onion, finely chopped, 3 tablespoons fresh lime juice, 2 tablespoons chopped fresh cilantro, Kosher salt, freshly ground pepper, <|startofinstruc|> Combine all ingredients in a medium bowl; season with salt and pepper. DO AHEAD: Can be made 1 day ahead. Cover and chill.
Combines all vegetables in an electric mixer fitted with the paddle attachment (or using a hand mixer) or with a handheld mixer, just until combined, about 30 seconds. Add 1 to 2 teaspoons water if needed to adjust consistency. Refrigerate until ready to serve. <|endofrecipe|>"
21,"EasyCranberry Sauce <|startofingre|> 1 (12 ounce) package fresh or frozen cranberries, 1 cup white sugar, 2 tablespoons cornstarch, 3/4 cup water, <|startofinstruc|> In a medium saucepan over medium heat, stir together the sugar, corn starch and water. Bring to a boil, then reduce heat to low and simmer for 10 minutes, stirring occasionally. Remove from heat and allow to cool to room temperature before using.
 <|endofrecipe|>"
22,"Grandmother's Spaghetti Sauce <|startofingre|> 1 pound lean ground beef, 1 onion, chopped, 2 cloves garlic, minced, 3 (14.5 ounce) cans stewed tomatoes, undrained, 4 cups water, salt and pepper to taste, <|startofinstruc|> In a large pot over medium heat, cook beef, onion and garlic until beef is brown. Stir in tomatoes and water. Bring to a boil, then reduce heat to low and simmer for 30 minutes.
Stir in salt, pepper and tomato sauce. Simmer until sauce is thickened and flavors are well blended, about 15 to 20 minutes, stirring occasionally. If sauce becomes too thick, add more water to thin it out to desired consistency. Serve hot, or refrigerate and reheat before serving. Enjoy!
 <|endofrecipe|>"
23,"Baked Ziti <|startofingre|> 1 (16 ounce) package ziti pasta, 2 tablespoons olive oil, 1 onion, chopped, 4 cloves garlic, minced, 3/4 cup chopped fresh parsley, salt and pepper to taste, <|startofinstruc|> Preheat oven to 350 degrees F (175 degrees C).
Bring a large pot of lightly salted water to a boil. Add pasta and cook for 8 to 10 minutes or until al dente; drain.
Heat oil in a medium skillet over medium heat. Saute onion and garlic until onion is tender. Stir in cooked pasta. Season with salt, pepper, and fresh herbs. Transfer to an 8x8 inch casserole dish and bake in preheated oven for 20 to 25 minutes, until bubbly and lightly browned. Serve warm or at room temperature, or cover and refrigerate for up to 3 days. Top with freshly grated Romano or Parmesan cheese, if desired;
 <|endofrecipe|>"
24,"Janet's Spaghetti Sauce <|startofingre|> 2 tablespoons olive oil, 1 onion, chopped, 2 cloves garlic, minced, 3/4 pound lean ground beef, 4 (14.5 ounce) cans diced tomatoes with juice, salt and pepper to taste, <|startofinstruc|> Heat oil in a large saucepan over medium heat. Add onion and garlic; cook and stir until onion is translucent, about 5 minutes. Stir in beef and cook until beef is crumbly, evenly browned, and no longer pink.
Stir in tomatoes and bring to a boil. Reduce heat to medium-low and simmer, stirring occasionally, until sauce is thickened and flavors have blended, 15 to 20 minutes; season with salt, pepper and additional salt if desired. If sauce becomes too thick, add more tomato juice, if it seems too dry, then add a little water to thin it out a bit. Serve hot or at room temperature. This sauce can be stored in the refrigerator for up to 2 weeks. It will thicken as it cools, so be sure to reheat before using it!
 <|endofrecipe|>"
25,"Mrs.J.'s Spaghetti Sauce <|startofingre|> 1 (28 ounce) can whole peeled tomatoes, with liquid, 1 onion, chopped, 3 cloves garlic, minced, 2 tablespoons chopped fresh parsley, salt and pepper to taste, <|startofinstruc|> In a large saucepan over medium heat, combine the tomatoes and liquid. Bring to a boil, then reduce heat to low, cover and simmer for 30 minutes.
Stir in the onion and garlic and continue to simmer until the liquid is reduced by half. Season with salt, pepper, and a little bit more liquid if desired. Serve hot or cold. This sauce can be refrigerated in a covered container for up to 3 days. If you are not serving immediately, let the sauce come to room temperature before serving. It will thicken as it cools, so be careful not to overcook it!
 <|endofrecipe|>"
26,"Taco Bake <|startofingre|> 1 pound ground beef, 1 (1.25 ounce) package taco seasoning mix, 2 cups shredded Cheddar cheese, <|startofinstruc|> Preheat oven to 350 degrees F (175 degrees C). Lightly grease a 9x13 inch baking dish.
In a large skillet over medium-high heat, cook and stir beef until evenly browned. Drain excess grease, and mix in seasoning packet. Transfer beef mixture to the prepared pan. Sprinkle cheese over the top. Bake in the preheated oven for 20 to 25 minutes, or until cheese is melted and bubbly. Let stand for 5 minutes before cutting into wedges to serve. Enjoy!
 <|endofrecipe|>"
